name,amenity,shop,building,leisure,comuna,lon,lat,tipo_osm,Zcap
,parking,,,,Ñuñoa,-70.61413953188044,-33.466661869763605,parking,25
,parking,,,,Ñuñoa,-70.60759602586597,-33.464493080456826,parking,25
Campus JGM-UCH,parking,,,,Ñuñoa,-70.59577587980081,-33.469100240740424,parking,25
Campus JGM-UCH,parking,,,,Ñuñoa,-70.59577587980081,-33.469100240740424,parking,25
,parking,,,,Ñuñoa,-70.57155154269043,-33.45265555174515,parking,25
,parking,,,,Ñuñoa,-70.62287764440235,-33.469828910740226,parking,25
,parking,,,,Ñuñoa,-70.57618915724592,-33.437049765550015,parking,25
,,,commercial,,Ñuñoa,-70.62042891973033,-33.46313473445521,commercial,10
,parking,,,,Ñuñoa,-70.61354739999996,-33.465381800027075,parking,25
,parking,,,,Ñuñoa,-70.58367469890317,-33.45993350218094,parking,25
,,,office,,Ñuñoa,-70.5938892000007,-33.46286025000421,office,8
,,,office,,Ñuñoa,-70.59371757578594,-33.462898308769226,office,8
,parking,,,,Ñuñoa,-70.59344105988565,-33.46580743556222,parking,25
,parking,,,,Ñuñoa,-70.58022693682118,-33.46047179898043,parking,25
,parking,,,,Ñuñoa,-70.58017074535985,-33.45974554067773,parking,25
,parking,,,,Ñuñoa,-70.58048343661831,-33.45980800431828,parking,25
,parking,,,,Ñuñoa,-70.58044909784182,-33.45961413906007,parking,25
,parking,,,,Ñuñoa,-70.58057279366292,-33.460516830457,parking,25
